Record ID,Car Name,Problem Classification,Problem Description,Severity,Diagnosis,How to Fix the Problem,Solution Used,ECU Data,Service History,Repair Status,Results
99,Mercedes A-Class 2018,Engine,Smoke from exhaust,High,Spark plug wear,Replace timing belt,Replaced wear,None,Transmission service 2 years ago,Fixed,Resolved
100,Honda Accord 2018,Battery,Battery drains fast,Low,Charging system fault,Test charging system,Test charging system,Multiple codes,Spark plugs replaced 2 years ago,Fixed,Resolved
101,Ford Ranger 2016,Brakes,Vibration when braking,High,Low brake fluid,Replace brake pads and rotors,Replaced fluid,None,Battery replaced 1 year ago,Fixed,Resolved
102,Chevrolet Camaro 2016,Transmission,Transmission overheating,High,Transmission fluid thick,Perform transmission service and inspect for internal damage,Perform transmission service,None,Battery replaced 1 year ago,Fixed,Resolved
103,Chevrolet Spark 2015,Engine,Engine overheating,Medium,Ignition coil failure,Replace faulty ignition coil and spark plugs,Replaced failure,None,Brake service 1 year ago,Fixed,Resolved
104,Chevrolet Trailblazer 2020,Electrical,Power window failure,Medium,Wiring issue,Replace alternator and test battery condition,Pending replace alternator,None,Transmission service 2 years ago,Not Fixed,Unresolved
105,Honda Civic 2017,Engine,Engine overheating,High,Ignition coil failure,Replace fuel pump,Replaced failure,P0100,None,Fixed,Resolved
106,Nissan Versa 2016,Engine,Smoke from exhaust,Medium,Timing belt failure,Replace spark plugs,Replaced failure,P0011,Brake service 1 year ago,Fixed,Resolved
107,Toyota Avalon 2019,Brakes,Brake pedal hard,High,Worn master cylinder,Refill brake fluid,Refill brake fluid,Multiple codes,Regular maintenance,Fixed,Resolved
108,BMW 5 Series 2016,Transmission,Transmission overheating,High,Transmission fluid low,Perform transmission service and inspect for internal damage,Perform transmission service,Multiple codes,Coolant flush last year,Fixed,Resolved
109,Mercedes S-Class 2022,Battery,Battery warning light,Medium,Dead battery,Replace battery and test charging system,Pending replace battery,Multiple codes,Brake service 1 year ago,Not Fixed,Unresolved
110,BMW X5 2021,Transmission,Delayed shifting,Medium,Transmission solenoid,Replace solenoid pack,Replaced solenoid,P0300,Coolant flush last year,Fixed,Resolved
111,Hyundai Palisade 2017,Brakes,Brake pedal hard,High,Worn master cylinder,Replace brake master cylinder and bleed brake system,Replaced cylinder,Multiple codes,Coolant flush last year,Fixed,Resolved
112,Mercedes C-Class 2023,Battery,Clicking sound when starting,Medium,Dead battery,Test charging system,Test charging system,P0430,None,Fixed,Resolved
113,Hyundai Palisade 2016,Battery,Battery drains fast,High,Faulty alternator,Test charging system,Test charging system,P0011,Coolant flush last year,Fixed,Resolved
114,Hyundai Nexo 2018,Brakes,Vibration when braking,High,Warped rotors,Resurface or replace rotors,Replaced rotors,None,Transmission service 2 years ago,Fixed,Resolved
115,Ford Mustang 2019,Transmission,Gear shift hard,High,Transmission wear,Refill transmission fluid,Pending refill transmission fluid,Multiple codes,Spark plugs replaced 2 years ago,Not Fixed,Unresolved
116,Ford F-150 2016,Battery,Battery drains fast,Low,Charging system fault,Test charging system,Test charging system,P0100,Transmission service 2 years ago,Fixed,Resolved
117,Kia EV6 2016,Engine,Engine misfire,Medium,Ignition coil failure,Replace fuel pump,Replaced failure,P0011,Battery replaced 1 year ago,Fixed,Resolved
118,Nissan Armada 2022,Brakes,Brake noise,Medium,Worn pads,Resurface or replace rotors,Replaced pads,None,Transmission service 2 years ago,Fixed,Resolved
119,BMW X6 2019,Engine,Engine misfire,High,Timing belt failure,Replace fuel pump,Replaced failure,P0101,Brake service 1 year ago,Fixed,Resolved
120,Hyundai Kona 2020,Engine,Check engine light on,Medium,Timing belt failure,Replace timing belt,Replaced failure,Multiple codes,Brake service 1 year ago,Fixed,Resolved
121,Mercedes A-Class 2016,Brakes,Brake pedal hard,Medium,Low brake fluid,Replace brake master cylinder and bleed brake system,Replaced fluid,P0011,Spark plugs replaced 2 years ago,Fixed,Resolved
122,Nissan Kicks 2019,Engine,Smoke from exhaust,High,Catalytic converter issue,Replace spark plugs,Replaced issue,P0420,Coolant flush last year,Fixed,Resolved
123,Nissan Rogue 2018,Brakes,Vibration when braking,High,Low brake fluid,Resurface or replace rotors,Replaced fluid,Multiple codes,Coolant flush last year,Fixed,Resolved
124,Kia Forte 2016,Battery,Car wont start,High,Faulty alternator,Replace starter motor,Replaced alternator,None,Brake service 1 year ago,Fixed,Resolved
125,Ford Mustang 2018,Electrical,Power window failure,Low,Loose wiring,Check and repair loose or damaged wiring connections,Check and repair wiring,P0430,Battery replaced 1 year ago,Fixed,Resolved
126,BMW i4 2020,Transmission,Slipping gears,Medium,Transmission solenoid,Perform transmission service and inspect for internal damage,Perform transmission service,P0430,Transmission service 2 years ago,Fixed,Resolved
127,Toyota Sienna 2023,Engine,Engine overheating,Medium,Timing belt failure,Replace timing belt,Replaced failure,P0300,Regular maintenance,Fixed,Resolved
128,Honda Insight 2023,Brakes,Soft brake pedal,Medium,Warped rotors,Resurface or replace rotors,Repair in progress,None,Battery replaced 1 year ago,In Progress,Monitoring
129,Chevrolet Camaro 2022,Battery,Battery drains fast,Low,Dead battery,Test charging system,Test charging system,Multiple codes,Regular maintenance,Fixed,Resolved
130,Ford F-150 2018,Brakes,Soft brake pedal,High,Warped rotors,Resurface or replace rotors,Replaced rotors,P0300,Transmission service 2 years ago,Fixed,Resolved
131,Nissan Frontier 2015,Transmission,Gear grinding,Medium,Transmission fluid thick,Perform transmission service and inspect for internal damage,Perform transmission service,P0301,Transmission service 2 years ago,Fixed,Resolved
132,Ford Edge 2016,Battery,Battery drains fast,High,Starter motor failure,Replace starter motor,Repair in progress,Multiple codes,Spark plugs replaced 2 years ago,In Progress,Monitoring
133,Honda HR-V 2023,Brakes,Brake noise,High,Worn pads,Resurface or replace rotors,Replaced pads,P0430,Coolant flush last year,Fixed,Resolved
134,Kia Soul 2017,Electrical,Battery drains fast,Low,Dead battery,Secure and repair connections,Secure and repair connections,None,Regular maintenance,Fixed,Resolved
135,Honda Ridgeline 2023,Battery,Car wont start,Low,Starter motor failure,Replace alternator and test battery condition,Replaced failure,None,Oil changed 6 months ago,Fixed,Resolved
136,Ford Expedition 2015,Brakes,Brake noise,Medium,Worn pads,Refill brake fluid,Refill brake fluid,P0500,Brake service 1 year ago,Fixed,Resolved
137,Chevrolet Tahoe 2022,Electrical,Battery drains fast,Medium,Window regulator motor,Replace battery and test charging system,Replaced motor,P0200,Spark plugs replaced 2 years ago,Fixed,Resolved
138,Chevrolet Spark 2017,Transmission,Gear grinding,High,Transmission solenoid,Replace transmission fluid,Replaced solenoid,Multiple codes,Regular maintenance,Fixed,Resolved
139,Honda CR-V 2019,Brakes,Vibration when braking,High,Worn pads,Refill brake fluid,Refill brake fluid,P0101,Coolant flush last year,Fixed,Resolved
140,Nissan Altima 2021,Battery,Clicking sound when starting,Medium,Faulty alternator,Test charging system,Repair in progress,None,None,In Progress,Monitoring
141,Honda Odyssey 2017,Electrical,Dashboard flickering,Low,Faulty alternator,Replace battery and test charging system,Replaced alternator,Multiple codes,Battery replaced 1 year ago,Fixed,Resolved
142,Toyota Corolla 2015,Transmission,Slipping gears,High,Transmission fluid low,Replace clutch packs,Pending replace clutch packs,Multiple codes,Spark plugs replaced 2 years ago,Not Fixed,Unresolved
143,Hyundai Sonata 2019,Engine,Check engine light on,High,Ignition coil failure,Replace timing belt,Replaced failure,P0420,Regular maintenance,Fixed,Resolved
144,BMW i4 2023,Engine,Engine stalling,Medium,Fuel pump issue,Replace faulty ignition coil and spark plugs,Replaced issue,P0200,None,Fixed,Resolved
145,Kia Telluride 2021,Electrical,Dashboard flickering,Low,Window regulator motor,Replace alternator and test battery condition,Replaced motor,Multiple codes,None,Fixed,Resolved
146,BMW 3 Series 2021,Transmission,Gear shift hard,Medium,Transmission wear,Replace transmission fluid,Replaced wear,None,Regular maintenance,Fixed,Resolved
147,Kia Forte 2015,Transmission,Transmission overheating,Medium,Transmission fluid thick,Refill transmission fluid,Refill transmission fluid,P0430,Battery replaced 1 year ago,Fixed,Resolved
148,Ford Escape 2016,Brakes,Brake pedal hard,High,Worn brake pads,Replace brake pads and resurface rotors,Replaced pads,None,Coolant flush last year,Fixed,Resolved
149,Mercedes GLA 2023,Brakes,Brake noise,High,Worn master cylinder,Replace brake pads and resurface rotors,Replaced cylinder,Multiple codes,Coolant flush last year,Fixed,Resolved
150,Honda Odyssey 2021,Brakes,Soft brake pedal,High,Low brake fluid,Replace brake pads and rotors,Repair in progress,Multiple codes,Battery replaced 1 year ago,In Progress,Monitoring
151,Mercedes S-Class 2016,Brakes,Brake pedal hard,High,Low brake fluid,Resurface or replace rotors,Repair in progress,Multiple codes,Transmission service 2 years ago,In Progress,Monitoring
152,Honda Accord 2020,Transmission,Gear shift hard,High,Transmission solenoid,Replace clutch packs,Replaced solenoid,Multiple codes,Battery replaced 1 year ago,Fixed,Resolved
153,BMW 3 Series 2020,Battery,Battery warning light,Low,Starter motor failure,Replace battery and test charging system,Replaced failure,P0430,Coolant flush last year,Fixed,Resolved
154,Ford F-150 2017,Battery,Battery warning light,Medium,Dead battery,Replace alternator and test battery condition,Replaced battery,P0430,Coolant flush last year,Fixed,Resolved
155,Toyota C-HR 2017,Brakes,Brake noise,High,Worn brake pads,Refill brake fluid,Refill brake fluid,None,Coolant flush last year,Fixed,Resolved
156,Kia Soul 2018,Engine,Check engine light on,High,Ignition coil failure,Replace timing belt,Replaced failure,None,Transmission service 2 years ago,Fixed,Resolved
157,BMW X5 2019,Brakes,Squealing brakes,High,Worn master cylinder,Replace brake pads and resurface rotors,Pending replace brake pads,None,Battery replaced 1 year ago,Not Fixed,Unresolved
158,Kia Rio 2016,Battery,Clicking sound when starting,Medium,Starter motor failure,Replace alternator and test battery condition,Replaced failure,Multiple codes,Oil changed 6 months ago,Fixed,Resolved
159,Mercedes GLE 2016,Electrical,Headlights flicker,Low,Loose wiring,Replace battery and test charging system,Replaced wiring,Multiple codes,Coolant flush last year,Fixed,Resolved
160,Mercedes GLC 2016,Engine,Engine overheating,High,Timing belt failure,Replace timing belt,Replaced failure,Multiple codes,Regular maintenance,Fixed,Resolved
161,Kia Sorento 2022,Brakes,Vibration when braking,High,Worn brake pads,Replace brake pads and resurface rotors,Pending replace brake pads,Multiple codes,Oil changed 6 months ago,Not Fixed,Unresolved
162,Nissan Versa 2015,Engine,Engine stalling,High,Ignition coil failure,Replace spark plugs,Replaced failure,Multiple codes,Brake service 1 year ago,Fixed,Resolved
163,Mercedes S-Class 2016,Transmission,Slipping gears,Medium,Clutch pack wear,Replace transmission fluid,Replaced wear,Multiple codes,Regular maintenance,Fixed,Resolved
164,Ford Maverick 2017,Electrical,Power window failure,Medium,Window regulator motor,Replace alternator and test battery condition,Replaced motor,None,None,Fixed,Resolved
165,Toyota C-HR 2019,Electrical,Power window failure,Low,Dead battery,Replace regulator motor,Replaced battery,Multiple codes,Transmission service 2 years ago,Fixed,Resolved
166,Hyundai Accent 2018,Brakes,Brake noise,High,Low brake fluid,Replace brake master cylinder and bleed brake system,Replaced fluid,P0100,Spark plugs replaced 2 years ago,Fixed,Resolved
167,BMW X5 2020,Battery,Battery drains fast,Medium,Starter motor failure,Replace starter motor,Replaced failure,P0300,Oil changed 6 months ago,Fixed,Resolved
168,Mercedes G-Class 2016,Transmission,Slipping gears,High,Transmission solenoid,Perform transmission service and inspect for internal damage,Perform transmission service,None,Regular maintenance,Fixed,Resolved
169,Hyundai Venue 2021,Electrical,Headlights flicker,Low,Faulty alternator,Replace regulator motor,Replaced alternator,None,Battery replaced 1 year ago,Fixed,Resolved
170,BMW 4 Series 2019,Brakes,Brake pedal hard,High,Worn master cylinder,Refill brake fluid,Refill brake fluid,None,Coolant flush last year,Fixed,Resolved
